Brittany Reeves,Zachary Amsden,Win,Loss
Zachary Amsden,Adam Triplett,Win,Loss
Brittany Reeves,Adam Triplett,Win,Loss
Zachary Amsden,Hugh Owens,Win,Loss
Adam Triplett,Hugh Owens,Win,Loss
Brittany Reeves,Hugh Owens,Win,Loss
Adam Triplett,Siavash Rezvani,Win,Loss
Zachary Amsden,Siavash Rezvani,Win,Loss
Siavash Rezvani,Hugh Owens,Loss,Loss
Brittany Reeves,Siavash Rezvani,Win,Loss
Lucas Servera,Preston Weller,Win,Loss
Preston Weller,Cory Conner,Win,Loss
Lucas Servera,Cory Conner,Win,Loss
Preston Weller,Jeremy Hennig,Win,Loss
Cory Conner,Jeremy Hennig,Win,Loss
Lucas Servera,Jeremy Hennig,Win,Loss
Allan Sherlock,Lianna Teeter,Win,Loss
Mark Smead,Lianna Teeter,Win,Loss
Allan Sherlock,Mark Smead,Win,Loss
Mark Smead,Tony Huang,Win,Loss
Tony Huang,Lianna Teeter,Win,Loss
Tony Huang,Allan Sherlock,Win,Loss
Joe Colistro,Mark Smead,Win,Loss
Joe Colistro,Lianna Teeter,Win,Loss
Tony Huang,Joe Colistro,Win,Loss
Joe Colistro,Allan Sherlock,Win,Loss
Dashiell Harrison,Zachary Morand,Win,Loss
Zachary Morand,Anthony Zavin,Win,Loss
Dashiell Harrison,Anthony Zavin,Win,Loss
Matthew Roche,Anthony Zavin,Win,Loss
Zachary Morand,Matthew Roche,Win,Loss
Dashiell Harrison,Matthew Roche,Win,Loss
Dashiell Harrison,Adam Triplett,Win,Loss
Lucas Servera,Zachary Morand,Win,Loss
Tony Huang,Zachary Amsden,Win,Loss
Joe Colistro,Brittany Reeves,Win,Loss
Joe Colistro,Dashiell Harrison,Win,Loss
Tony Huang,Lucas Servera,Win,Loss
Tony Huang,Joe Colistro,Win,Loss
Lucas Servera,Dashiell Harrison,Win,Loss
